sequence_number,V_allele,D_allele,J_allele
3533,ighv1-8*01,ighd5-12*01,ighj3*01
3534,ighv1-3*03,ighd5-18*01,ighj3*02
3535,ighv3-9*01,ighd6-19*01,ighj6*04
3536,ighv3-48*03,ighd3-9*01,ighj4*02
3537,ighv1-2*07,ighd1-20*01,ighj6*01
3538,ighv2-5*02,ighd3-16*02,ighj4*03
3539,ighv1-69-2*01,ighd6-19*01,ighj6*01
3540,ighv3-20*04,ighd6-19*01,ighj4*02
3541,ighv4-30-2*03,ighd2-15*01,ighj2*01
3542,ighv3-62*04,ighd3-3*02,ighj4*03
3543,ighv1-69*09,ighd5-5*01,ighj4*02
3544,ighv1-58*01,ighd6-6*01,ighj4*02
3545,ighv3-43d*03,ighd6-19*01,ighj4*03
3546,ighv1-45*02,ighd2-2*02,ighj4*02
3547,ighv2-5*02,ighd1-7*01,ighj3*02
3548,ighv2-70*20,ighd4-17*01,ighj5*01
3549,ighv3-35*02,ighd6-13*01,ighj2*01
3550,ighv6-1*02,ighd5-5*01,ighj6*01
3551,ighv4-59*11,ighd2-8*02,ighj3*02
3552,ighv1-3*02,ighd2-21*01,ighj5*02
3553,ighv3-23*01,ighd5-18*01,ighj6*04
3554,ighv3-7*03,ighd3-16*02,ighj5*01
3555,ighv2-70d*04,ighd3-10*02,ighj4*03
3556,ighv1-46*04,ighd5-5*01,ighj4*03
3557,ighv1-8*02,ighd3-22*01,ighj4*03
3558,ighv1-8*01,ighd2-21*01,ighj4*02
3559,ighv2-70d*14,ighd2-8*01,ighj5*02
3560,ighv4-39*01,ighd6-25*01,ighj6*01
3561,ighv1-8*02,ighd3-16*02,ighj4*03
3562,ighv1-2*06,ighd5-18*01,ighj4*02
3563,ighv2-5*01,ighd3-3*01,ighj6*04
3564,ighv7-4-1*02,ighd6-19*01,ighj5*02
3565,ighv3-13*05,ighd3-10*02,ighj4*03
3566,ighv1-69d*01,ighd4-4*01,ighj4*03
3567,ighv3-30-5*01,ighd1-1*01,ighj4*02
3568,ighv3-64d*06,ighd2-8*02,ighj1*01
3569,ighv1-24*01,ighd1-7*01,ighj1*01
3570,ighv1-69-2*01,ighd3-22*01,ighj4*02
3571,ighv2-70*10,ighd7-27*01,ighj4*02
3572,ighv4-61*02,ighd3-10*01,ighj4*02
3573,ighv3-48*03,ighd5-18*01,ighj5*02
3574,ighv4-34*10,ighd3-22*01,ighj6*01
3575,ighv2-5*01,ighd3-22*01,ighj4*02
3576,ighv3-72*01,ighd6-19*01,ighj3*01
3577,ighv1-69-2*01,ighd1-7*01,ighj3*01
3578,ighv1-69d*01,ighd4-4*01,ighj4*03
3579,ighv1-69d*01,ighd5-5*01,ighj4*03
3580,ighv1-69-2*01,ighd6-25*01,ighj4*03
3581,ighv3-64d*06,ighd3-22*01,ighj4*03
3582,ighv2-5*01,ighd3-3*01,ighj4*02
3583,ighv2-70*10,ighd3-16*01,ighj3*01
3584,ighv1-58*02,ighd6-6*01,ighj4*03
3585,ighv2-70d*04,ighd6-19*01,ighj4*03
3586,ighv1-24*01,ighd3-3*01,ighj3*01
3587,ighv1-8*02,ighd6-25*01,ighj4*03
3588,ighv3-11*06,ighd4-4*01,ighj6*01
3589,ighv1-69d*01,ighd5-5*01,ighj4*02
3590,ighv3-23*01,ighd6-6*01,ighj4*02
3591,ighv1-18*04,ighd4-4*01,ighj4*03
3592,ighv1-45*02,ighd3-9*01,ighj1*01
3593,ighv2-5*01,ighd3-16*01,ighj2*01
3594,ighv2-70d*14,ighd3-3*01,ighj4*02
3595,ighv1-69*09,ighd2-21*01,ighj6*04
3596,ighv4-38-2*01,ighd6-13*01,ighj5*02
3597,ighv1-18*03,ighd6-13*01,ighj4*02
3598,ighv1-69-2*01,ighd3-3*01,ighj6*04
3599,ighv1-69*14,ighd6-19*01,ighj4*03
3600,ighv2-5*02,ighd6-6*01,ighj4*03
3601,ighv3-74*03,ighd4-17*01,ighj4*02
3602,ighv3-30*03,ighd3-10*01,ighj3*01
3603,ighv1-2*07,ighd3-10*02,ighj4*03
3604,ighv1-24*01,ighd5-5*01,ighj6*04
3605,ighv3-43d*03,ighd3-10*02,ighj3*02
3606,ighv3-30-3*03,ighd6-6*01,ighj4*02
3607,ighv2-26*02,ighd3-16*02,ighj6*01
3608,ighv2-70d*14,ighd1-1*01,ighj4*02
3609,ighv2-26*02,ighd2-2*01,ighj4*03
3610,ighv1-46*04,ighd1-26*01,ighj4*03
3611,ighv1-46*03,ighd2-21*01,ighj4*02
3612,ighv1-69*14,ighd5-5*01,ighj1*01
3613,ighv1-69*14,ighd6-19*01,ighj5*01
3614,ighv1-8*02,ighd3-10*02,ighj6*01
3615,ighv1-2*06,ighd3-3*01,ighj5*02
3616,ighv4-30-2*05,ighd1-1*01,ighj4*03
3617,ighv1-69*14,ighd3-10*02,ighj6*01
3618,ighv1-18*03,ighd3-10*01,ighj4*02
3619,ighv3-66*01,ighd3-22*01,ighj4*03
3620,ighv3-30-5*01,ighd5-18*01,ighj4*02
3621,ighv1-8*01,ighd3-16*01,ighj4*02
3622,ighv3-30*04,ighd1-20*01,ighj6*01
3623,ighv3-74*03,ighd3-3*01,ighj3*01
3624,ighv3-66*01,ighd1-20*01,ighj1*01
3625,ighv1-46*04,ighd3-16*02,ighj4*03
3626,ighv2-70*10,ighd3-16*01,ighj6*04
3627,ighv2-70d*04,ighd6-19*01,ighj3*02
3628,ighv2-70*20,ighd5-5*01,ighj1*01
3629,ighv1-69-2*01,ighd6-13*01,ighj4*03
3630,ighv1-18*04,ighd6-6*01,ighj4*03
3631,ighv2-26*03,ighd3-10*01,ighj6*04
3632,ighv1-2*06,ighd3-3*01,ighj4*02
3633,ighv1-69*09,ighd1-26*01,ighj5*02
3634,ighv3-13*05,ighd3-16*02,ighj5*01
3635,ighv1-8*01,ighd2-2*02,ighj6*04
3636,ighv6-1*01,ighd6-6*01,ighj6*04
3637,ighv3-nl1*01,ighd6-25*01,ighj6*04
3638,ighv4-31*02,ighd2-21*02,ighj4*03
3639,ighv4-28*06,ighd6-19*01,ighj4*03
3640,ighv3-33*02,ighd3-9*01,ighj6*01
3641,ighv7-4-1*02,ighd5-18*01,ighj6*04
3642,ighv1-69*14,ighd3-3*02,ighj6*01
3643,ighv3-72*01,ighd3-9*01,ighj3*02
3644,ighv3-62*04,ighd4-4*01,ighj5*01
3645,ighv1-3*03,ighd5-5*01,ighj4*03
3646,ighv2-26*03,ighd2-21*01,ighj3*01
3647,ighv1-18*04,ighd1-1*01,ighj6*01
3648,ighv3-66*01,ighd3-16*02,ighj4*03
3649,ighv1-69d*01,ighd2-8*02,ighj6*01
3650,ighv1-3*02,ighd6-19*01,ighj4*02
3651,ighv1-2*06,ighd6-13*01,ighj4*02
3652,ighv3-30*03,ighd2-21*01,ighj4*02
3653,ighv1-8*02,ighd2-8*02,ighj6*01
3654,ighv3-53*01,ighd3-16*01,ighj3*01
3655,ighv7-4-1*02,ighd3-3*01,ighj4*02
3656,ighv2-26*03,ighd6-13*01,ighj4*02
3657,ighv3-21*06,ighd1-26*01,ighj4*03
3658,ighv1-24*01,ighd6-19*01,ighj5*01
3659,ighv7-4-1*01,ighd5-5*01,ighj5*01
3660,ighv1-69*14,ighd3-22*01,ighj4*03
3661,ighv2-26*02,ighd6-13*01,ighj4*03
3662,ighv3-30-5*01,ighd5-18*01,ighj4*02
3663,ighv2-26*03,ighd1-1*01,ighj6*04
3664,ighv1-2*06,ighd6-25*01,ighj5*02
3665,ighv2-70d*04,ighd3-3*02,ighj3*02
3666,ighv1-58*02,ighd1-20*01,ighj4*03
3667,ighv3-48*04,ighd2-8*02,ighj4*03
3668,ighv2-70*20,ighd4-4*01,ighj4*03
3669,ighv1-18*04,ighd3-22*01,ighj4*03
3670,ighv1-18*03,ighd2-2*02,ighj4*02
3671,ighv3-9*02,ighd1-1*01,ighj5*01
3672,ighv5-10-1*03,ighd6-25*01,ighj4*02
3673,ighv2-5*01,ighd2-15*01,ighj4*02
3674,ighv3-9*01,ighd6-19*01,ighj6*04
3675,ighv1-69*09,ighd3-3*01,ighj4*02
3676,ighv1-8*01,ighd5-5*01,ighj4*02
3677,ighv3-72*01,ighd2-15*01,ighj4*02
3678,ighv3-23d*01,ighd2-21*02,ighj4*03
3679,ighv1-69d*01,ighd5-5*01,ighj4*03
3680,ighv3-9*02,ighd6-13*01,ighj6*01
3681,ighv2-5*01,ighd3-10*01,ighj4*02
3682,ighv3-21*02,ighd3-3*01,ighj4*02
3683,ighv3-62*04,ighd3-16*01,ighj4*02
3684,ighv1-18*04,ighd6-13*01,ighj4*03
3685,ighv5-10-1*03,ighd6-6*01,ighj3*01
3686,ighv1-3*02,ighd6-25*01,ighj6*04
3687,ighv4-31*02,ighd3-22*01,ighj6*01
3688,ighv1-18*04,ighd2-15*01,ighj4*03
3689,ighv3-9*02,ighd3-3*02,ighj5*01
3690,ighv3-49*05,ighd3-22*01,ighj5*01
3691,ighv4-28*05,ighd1-1*01,ighj4*02
3692,ighv3-30*04,ighd6-25*01,ighj6*01
3693,ighv1-58*01,ighd5-5*01,ighj3*01
3694,ighv3-30-3*03,ighd6-6*01,ighj4*02
3695,ighv3-15*06,ighd3-3*02,ighj4*03
3696,ighv1-69d*01,ighd3-22*01,ighj6*01
3697,ighv1-24*01,ighd3-3*02,ighj6*01
3698,ighv4-30-4*01,ighd6-6*01,ighj4*02
3699,ighv3-9*02,ighd3-3*02,ighj3*02
3700,ighv2-26*03,ighd3-16*01,ighj6*04
3701,ighv3-20*01,ighd1-1*01,ighj6*01
3702,ighv4-61*02,ighd2-15*01,ighj4*02
3703,ighv2-70d*14,ighd1-1*01,ighj5*02
3704,ighv3-7*03,ighd6-13*01,ighj4*03
3705,ighv3-64*05,ighd1-20*01,ighj6*04
3706,ighv1-69*09,ighd3-9*01,ighj4*02
3707,ighv1-18*03,ighd3-10*01,ighj6*04
3708,ighv2-26*03,ighd2-21*01,ighj5*02
3709,ighv1-3*02,ighd3-3*01,ighj4*02
3710,ighv1-3*03,ighd6-6*01,ighj4*03
3711,ighv2-5*02,ighd5-18*01,ighj4*03
3712,ighv3-74*02,ighd3-10*02,ighj3*02
3713,ighv4-30-2*05,ighd3-22*01,ighj4*03
3714,ighv1-45*01,ighd2-21*02,ighj6*01
3715,ighv3-13*05,ighd4-17*01,ighj6*01
3716,ighv3-23d*01,ighd6-6*01,ighj6*04
3717,ighv2-70*20,ighd7-27*01,ighj5*01
3718,ighv1-18*04,ighd2-8*02,ighj5*01
3719,ighv3-43*01,ighd4-17*01,ighj4*03
3720,ighv3-7*05,ighd3-9*01,ighj3*01
3721,ighv3-72*01,ighd3-3*01,ighj6*04
3722,ighv1-69-2*01,ighd3-16*02,ighj4*03
3723,ighv1-18*04,ighd1-1*01,ighj6*01
3724,ighv1-18*03,ighd1-1*01,ighj4*02
3725,ighv1-2*07,ighd3-16*02,ighj3*02
3726,ighv2-70*20,ighd3-16*02,ighj4*03
3727,ighv1-2*06,ighd6-19*01,ighj3*01
3728,ighv1-18*03,ighd3-22*01,ighj4*02
3729,ighv1-69-2*01,ighd3-22*01,ighj4*03
3730,ighv1-69d*01,ighd5-18*01,ighj6*01
3731,ighv3-72*01,ighd5-5*01,ighj4*03
3732,ighv1-45*01,ighd1-7*01,ighj6*01
3733,ighv3-nl1*01,ighd5-18*01,ighj3*01
3734,ighv1-45*02,ighd3-10*01,ighj5*02
3735,ighv3-49*01,ighd3-9*01,ighj6*04
3736,ighv1-24*01,ighd2-21*01,ighj4*02
3737,ighv3-35*02,ighd5-18*01,ighj4*02
3738,ighv1-69*09,ighd2-2*02,ighj6*04
3739,ighv1-69*14,ighd3-22*01,ighj6*01
3740,ighv3-30*04,ighd4-4*01,ighj5*01
3741,ighv2-26*03,ighd3-9*01,ighj1*01
3742,ighv1-69*09,ighd1-26*01,ighj4*02
3743,ighv1-45*01,ighd3-10*02,ighj6*01
3744,ighv4-39*06,ighd4-17*01,ighj6*04
3745,ighv1-58*01,ighd2-21*01,ighj4*02
3746,ighv1-46*04,ighd6-19*01,ighj3*02
3747,ighv1-2*06,ighd2-15*01,ighj6*04
3748,ighv3-23d*01,ighd1-7*01,ighj4*03
3749,ighv2-70d*14,ighd3-22*01,ighj3*01
3750,ighv1-58*01,ighd2-15*01,ighj4*02
3751,ighv3-49*05,ighd1-7*01,ighj5*01
3752,ighv3-72*01,ighd2-8*02,ighj4*03
3753,ighv1-18*04,ighd6-6*01,ighj4*03
3754,ighv1-2*07,ighd3-16*02,ighj4*03
3755,ighv3-13*01,ighd5-5*01,ighj4*02
3756,ighv4-34*10,ighd6-6*01,ighj4*03
3757,ighv1-8*02,ighd5-5*01,ighj4*03
3758,ighv6-1*01,ighd3-10*01,ighj6*04
3759,ighv1-2*06,ighd5-12*01,ighj4*02
3760,ighv1-2*07,ighd6-25*01,ighj5*01
3761,ighv2-70d*04,ighd3-9*01,ighj6*01
3762,ighv1-69d*01,ighd5-12*01,ighj6*04
3763,ighv1-69d*01,ighd6-6*01,ighj4*03
3764,ighv1-24*01,ighd1-26*01,ighj4*02
3765,ighv2-70*10,ighd6-25*01,ighj6*04
3766,ighv3-15*05,ighd3-10*01,ighj4*02
3767,ighv1-18*03,ighd6-13*01,ighj2*01
3768,ighv1-2*06,ighd1-20*01,ighj6*04
3769,ighv1-8*01,ighd3-16*01,ighj6*04
3770,ighv2-70d*04,ighd3-3*02,ighj6*01
3771,ighv1-45*01,ighd5-12*01,ighj6*01
3772,ighv2-26*02,ighd6-25*01,ighj4*03
3773,ighv3-66*01,ighd2-15*01,ighj4*03
3774,ighv1-58*02,ighd5-18*01,ighj3*02
3775,ighv3-11*06,ighd1-7*01,ighj4*03
3776,ighv1-45*01,ighd1-20*01,ighj4*03
3777,ighv1-46*03,ighd5-5*01,ighj4*02
3778,ighv1-46*03,ighd6-25*01,ighj3*01
3779,ighv1-2*06,ighd3-3*01,ighj4*02
3780,ighv2-70*10,ighd4-17*01,ighj5*02
3781,ighv1-18*04,ighd2-15*01,ighj5*01
3782,ighv4-39*01,ighd4-17*01,ighj6*01
3783,ighv2-70*10,ighd3-22*01,ighj4*02
3784,ighv4-4*01,ighd3-10*01,ighj3*01
3785,ighv1-46*04,ighd2-8*02,ighj3*02
3786,ighv1-18*03,ighd3-22*01,ighj5*02
3787,ighv1-46*03,ighd5-18*01,ighj5*02
3788,ighv2-70d*04,ighd3-22*01,ighj4*03
3789,ighv1-69d*01,ighd3-16*01,ighj4*02
3790,ighv1-45*02,ighd3-10*01,ighj4*02
3791,ighv3-20*01,ighd2-21*02,ighj6*01
3792,ighv2-70d*14,ighd3-10*01,ighj4*02
3793,ighv2-70d*04,ighd1-7*01,ighj4*03
3794,ighv1-2*07,ighd3-22*01,ighj4*03
3795,ighv1-2*07,ighd5-5*01,ighj5*01
3796,ighv2-70*10,ighd6-19*01,ighj6*04
3797,ighv3-23*04,ighd4-17*01,ighj4*03
3798,ighv1-2*07,ighd5-18*01,ighj3*02
3799,ighv3-23*04,ighd2-8*02,ighj2*01
3800,ighv1-69d*01,ighd3-10*02,ighj4*03
3801,ighv1-46*03,ighd2-15*01,ighj4*02
3802,ighv4-4*08,ighd1-20*01,ighj4*03
3803,ighv3-48*03,ighd4-4*01,ighj4*02
3804,ighv3-30-3*03,ighd6-19*01,ighj4*02
3805,ighv2-70*10,ighd5-18*01,ighj5*02
3806,ighv2-26*02,ighd4-17*01,ighj4*03
3807,ighv2-26*03,ighd2-21*01,ighj4*02
3808,ighv2-70d*04,ighd6-6*01,ighj4*03
3809,ighv1-69*14,ighd3-22*01,ighj6*01
3810,ighv1-2*06,ighd1-7*01,ighj1*01
3811,ighv1-69*14,ighd3-3*02,ighj6*01
3812,ighv3-74*02,ighd2-2*01,ighj4*03
3813,ighv1-69d*01,ighd2-15*01,ighj6*04
3814,ighv1-69d*01,ighd5-12*01,ighj5*02
3815,ighv1-69*14,ighd3-9*01,ighj4*03
3816,ighv2-70d*14,ighd3-3*01,ighj4*02
3817,ighv3-72*01,ighd1-20*01,ighj6*04
3818,ighv1-3*02,ighd6-6*01,ighj4*02
3819,ighv1-18*04,ighd1-20*01,ighj4*03
3820,ighv1-18*03,ighd2-2*02,ighj4*02
3821,ighv1-2*07,ighd3-16*02,ighj5*01
3822,ighv2-70*20,ighd4-17*01,ighj5*01
3823,ighv4-34*10,ighd2-2*01,ighj3*02
3824,ighv3-73*01,ighd1-7*01,ighj4*03
3825,ighv1-8*02,ighd3-3*02,ighj4*03
3826,ighv1-8*01,ighd2-8*01,ighj3*01
3827,ighv3-15*06,ighd6-6*01,ighj4*03
3828,ighv1-2*06,ighd3-3*01,ighj3*01
3829,ighv5-51*07,ighd2-8*02,ighj4*03
3830,ighv1-45*01,ighd5-5*01,ighj4*03
3831,ighv4-59*11,ighd4-17*01,ighj4*03
3832,ighv2-26*03,ighd1-20*01,ighj4*02
3833,ighv4-61*08,ighd6-25*01,ighj6*01
3834,ighv1-2*07,ighd2-21*02,ighj4*03
3835,ighv6-1*02,ighd6-13*01,ighj4*03
3836,ighv1-18*03,ighd1-26*01,ighj4*02
3837,ighv1-2*06,ighd3-16*01,ighj3*01
3838,ighv2-26*02,ighd2-15*01,ighj4*03
3839,ighv1-8*01,ighd2-8*01,ighj6*04
3840,ighv1-24*01,ighd2-2*01,ighj3*02
3841,ighv3-9*02,ighd5-5*01,ighj6*01
3842,ighv2-70*10,ighd2-2*02,ighj6*04
3843,ighv3-33*06,ighd5-18*01,ighj5*02
3844,ighv4-38-2*02,ighd3-3*02,ighj6*01
3845,ighv1-69d*01,ighd6-19*01,ighj5*01
3846,ighv4-30-2*03,ighd6-13*01,ighj6*04
3847,ighv3-23d*01,ighd6-13*01,ighj4*03
3848,ighv3-9*02,ighd3-9*01,ighj4*03
3849,ighv1-69*14,ighd5-12*01,ighj4*03
3850,ighv1-45*01,ighd3-10*02,ighj4*03
3851,ighv2-70d*04,ighd5-5*01,ighj3*02
3852,ighv3-73*02,ighd2-2*02,ighj4*02
3853,ighv4-28*05,ighd2-2*02,ighj4*02
3854,ighv2-26*02,ighd2-21*02,ighj3*02
3855,ighv1-8*01,ighd3-3*01,ighj3*01
3856,ighv2-5*02,ighd1-26*01,ighj3*02
3857,ighv3-64*03,ighd6-25*01,ighj3*02
3858,ighv4-61*08,ighd5-5*01,ighj5*01
3859,ighv3-9*02,ighd2-21*02,ighj4*03
3860,ighv3-30*04,ighd1-1*01,ighj2*01
3861,ighv3-48*04,ighd2-8*02,ighj5*01
3862,ighv2-26*02,ighd3-9*01,ighj5*01
3863,ighv1-69-2*01,ighd5-18*01,ighj6*04
3864,ighv1-69*09,ighd2-2*02,ighj4*02
3865,ighv1-69*09,ighd5-5*01,ighj4*02
3866,ighv4-34*09,ighd5-18*01,ighj4*02
3867,ighv4-28*06,ighd3-16*02,ighj4*03
3868,ighv3-20*04,ighd5-5*01,ighj3*01
3869,ighv2-26*03,ighd6-6*01,ighj4*02
3870,ighv4-34*10,ighd4-17*01,ighj4*03
3871,ighv2-26*03,ighd5-5*01,ighj4*02
3872,ighv1-46*04,ighd6-13*01,ighj5*01
3873,ighv1-69d*01,ighd1-1*01,ighj4*02
3874,ighv2-70*20,ighd3-22*01,ighj4*03
3875,ighv3-64*03,ighd1-20*01,ighj5*01
3876,ighv1-3*02,ighd5-12*01,ighj5*02
3877,ighv1-69*09,ighd2-2*02,ighj6*04
3878,ighv1-58*02,ighd1-20*01,ighj4*03
3879,ighv3-53*01,ighd6-13*01,ighj4*02
3880,ighv4-30-2*03,ighd2-2*02,ighj4*02
3881,ighv1-2*07,ighd3-3*02,ighj4*03
3882,ighv1-24*01,ighd3-16*01,ighj5*02
3883,ighv1-69d*01,ighd3-3*02,ighj4*03
3884,ighv1-69d*01,ighd3-10*02,ighj4*03
3885,ighv3-30-3*02,ighd3-10*02,ighj4*03
3886,ighv1-24*01,ighd3-22*01,ighj4*03
3887,ighv3-72*01,ighd5-12*01,ighj4*03
3888,ighv4-30-2*03,ighd2-21*01,ighj4*02
3889,ighv2-70*20,ighd6-13*01,ighj6*01
3890,ighv5-10-1*03,ighd3-3*01,ighj4*02
3891,ighv2-70d*04,ighd1-1*01,ighj4*03
3892,ighv1-69*09,ighd3-22*01,ighj3*01
3893,ighv3-48*03,ighd2-2*02,ighj6*04
3894,ighv3-23*01,ighd6-13*01,ighj5*02
3895,ighv3-30-3*02,ighd4-17*01,ighj4*03
3896,ighv4-39*06,ighd3-10*01,ighj4*02
3897,ighv2-26*03,ighd6-6*01,ighj4*02
3898,ighv3-33*06,ighd3-3*01,ighj3*01
3899,ighv2-5*02,ighd3-22*01,ighj4*03
3900,ighv7-4-1*02,ighd3-10*01,ighj3*01
3901,ighv1-69*14,ighd1-26*01,ighj3*02
3902,ighv1-2*06,ighd3-22*01,ighj3*01
3903,ighv2-5*01,ighd4-17*01,ighj4*02
3904,ighv1-18*03,ighd1-20*01,ighj4*02
3905,ighv1-2*07,ighd6-6*01,ighj4*03
3906,ighv2-70d*04,ighd2-15*01,ighj5*01
3907,ighv1-8*01,ighd6-19*01,ighj4*02
3908,ighv1-24*01,ighd5-5*01,ighj4*02
3909,ighv1-2*07,ighd2-8*02,ighj3*02
3910,ighv3-64d*06,ighd1-1*01,ighj4*03
3911,ighv3-21*02,ighd2-8*01,ighj4*02
3912,ighv1-18*03,ighd1-7*01,ighj4*02
3913,ighv1-69*09,ighd2-2*02,ighj4*02
3914,ighv2-26*03,ighd2-15*01,ighj4*02
3915,ighv2-70d*04,ighd6-25*01,ighj4*03
3916,ighv4-31*02,ighd1-7*01,ighj4*03
3917,ighv1-69d*01,ighd1-26*01,ighj4*02
3918,ighv1-46*04,ighd3-10*02,ighj4*03
3919,ighv1-3*02,ighd4-4*01,ighj4*02
3920,ighv1-45*01,ighd1-1*01,ighj5*01
3921,ighv3-30-3*03,ighd1-26*01,ighj6*04
3922,ighv3-53*01,ighd3-16*01,ighj4*02
3923,ighv1-69*09,ighd3-16*01,ighj4*02
3924,ighv1-24*01,ighd3-3*02,ighj4*03
3925,ighv2-70*10,ighd7-27*01,ighj4*02
3926,ighv2-26*02,ighd1-20*01,ighj4*03
3927,ighv3-66*01,ighd6-13*01,ighj6*01
3928,ighv1-18*04,ighd6-19*01,ighj4*03
3929,ighv1-8*02,ighd3-16*02,ighj4*03
3930,ighv3-48*03,ighd1-26*01,ighj3*01
3931,ighv2-5*02,ighd3-10*02,ighj4*03
3932,ighv2-70*20,ighd3-16*02,ighj4*03
3933,ighv3-49*05,ighd3-3*02,ighj3*02
3934,ighv3-nl1*01,ighd2-21*01,ighj6*04
3935,ighv1-18*03,ighd5-18*01,ighj4*02
3936,ighv2-70*20,ighd5-18*01,ighj5*01
3937,ighv1-2*06,ighd3-9*01,ighj1*01
3938,ighv4-28*06,ighd3-9*01,ighj4*03
3939,ighv1-45*01,ighd2-8*02,ighj2*01
3940,ighv2-70d*14,ighd5-12*01,ighj3*01
3941,ighv1-24*01,ighd6-25*01,ighj3*01
3942,ighv2-26*03,ighd3-3*01,ighj6*04
3943,ighv2-70d*14,ighd1-7*01,ighj4*02
3944,ighv1-69*14,ighd2-15*01,ighj4*03
3945,ighv3-66*01,ighd6-25*01,ighj4*03
3946,ighv1-18*03,ighd2-21*01,ighj5*02
3947,ighv1-24*01,ighd3-16*01,ighj3*01
3948,ighv3-20*01,ighd2-15*01,ighj4*03
3949,ighv3-15*05,ighd2-2*02,ighj4*02
3950,ighv2-70d*04,ighd3-9*01,ighj3*02
3951,ighv4-34*10,ighd1-20*01,ighj4*03
3952,ighv1-69*14,ighd3-16*02,ighj5*01
3953,ighv1-2*07,ighd5-5*01,ighj6*01
3954,ighv4-31*02,ighd3-16*02,ighj5*01
3955,ighv1-18*04,ighd2-8*02,ighj5*01
3956,ighv2-5*02,ighd3-9*01,ighj4*03
3957,ighv2-70d*04,ighd3-9*01,ighj4*03
3958,ighv1-24*01,ighd3-16*02,ighj2*01
3959,ighv3-49*05,ighd3-16*02,ighj4*03
3960,ighv1-58*01,ighd3-9*01,ighj3*01
3961,ighv4-39*01,ighd2-8*02,ighj4*03
3962,ighv1-3*02,ighd6-25*01,ighj3*01
3963,ighv5-51*07,ighd4-4*01,ighj4*03
3964,ighv4-61*08,ighd6-25*01,ighj4*03
3965,ighv1-69d*01,ighd2-2*02,ighj3*01
3966,ighv1-45*02,ighd2-2*02,ighj4*02
3967,ighv2-70*20,ighd4-4*01,ighj5*01
3968,ighv1-2*07,ighd3-10*02,ighj5*01
3969,ighv1-18*03,ighd6-13*01,ighj5*02
3970,ighv6-1*02,ighd1-7*01,ighj4*03
3971,ighv1-18*04,ighd6-25*01,ighj5*01
3972,ighv3-66*03,ighd6-25*01,ighj4*02
3973,ighv1-24*01,ighd1-1*01,ighj4*02
3974,ighv3-23*04,ighd3-10*02,ighj3*02
3975,ighv1-18*04,ighd4-17*01,ighj6*01
3976,ighv2-70d*14,ighd3-9*01,ighj4*02
3977,ighv2-26*02,ighd6-19*01,ighj5*01
3978,ighv1-45*01,ighd4-4*01,ighj4*03
3979,ighv3-64d*09,ighd6-25*01,ighj6*04
3980,ighv1-2*07,ighd3-3*02,ighj2*01
3981,ighv3-72*01,ighd1-1*01,ighj4*03
3982,ighv1-69*09,ighd2-21*01,ighj3*01
3983,ighv3-43d*04,ighd2-21*01,ighj5*02
3984,ighv3-15*06,ighd3-10*02,ighj6*01
3985,ighv1-8*02,ighd5-5*01,ighj3*02
3986,ighv1-69*09,ighd2-21*01,ighj4*02
3987,ighv1-2*06,ighd6-19*01,ighj4*02
3988,ighv2-26*03,ighd3-10*01,ighj6*04
3989,ighv3-7*05,ighd2-15*01,ighj4*02
3990,ighv2-5*01,ighd5-5*01,ighj4*02
3991,ighv3-23d*01,ighd2-8*02,ighj4*03
3992,ighv3-nl1*01,ighd6-25*01,ighj4*03
3993,ighv3-66*01,ighd6-6*01,ighj4*03
3994,ighv3-21*02,ighd3-16*01,ighj4*02
3995,ighv3-33*06,ighd3-10*01,ighj6*04
3996,ighv3-21*02,ighd1-20*01,ighj4*02
3997,ighv2-70*10,ighd2-8*01,ighj4*02
3998,ighv2-70*10,ighd3-10*01,ighj1*01
3999,ighv2-5*01,ighd3-16*01,ighj4*02
4000,ighv1-69*09,ighd3-22*01,ighj3*01
4001,ighv1-69-2*01,ighd3-9*01,ighj6*01
4002,ighv2-70d*04,ighd1-7*01,ighj4*03
4003,ighv1-8*01,ighd6-6*01,ighj3*01
4004,ighv1-58*02,ighd6-25*01,ighj6*01
4005,ighv3-30-5*01,ighd2-21*01,ighj6*04
4006,ighv3-30-5*02,ighd2-15*01,ighj5*01
4007,ighv1-69-2*01,ighd1-7*01,ighj6*01
4008,ighv1-46*04,ighd6-19*01,ighj6*01
4009,ighv3-23d*01,ighd3-16*01,ighj3*01
4010,ighv3-13*05,ighd3-9*01,ighj5*01
4011,ighv3-30*04,ighd2-21*02,ighj4*03
4012,ighv4-28*05,ighd2-15*01,ighj6*04
4013,ighv1-58*01,ighd6-19*01,ighj6*04
4014,ighv6-1*02,ighd6-6*01,ighj4*03
4015,ighv1-18*04,ighd6-13*01,ighj4*03
4016,ighv1-69-2*01,ighd5-18*01,ighj4*03
4017,ighv1-69d*01,ighd3-16*02,ighj4*03
4018,ighv1-2*06,ighd3-3*01,ighj4*02
4019,ighv3-13*01,ighd3-22*01,ighj3*01
4020,ighv3-66*01,ighd2-2*01,ighj3*02
4021,ighv1-45*01,ighd5-5*01,ighj4*03
4022,ighv1-18*04,ighd1-20*01,ighj3*02
4023,ighv4-30-4*01,ighd1-20*01,ighj6*04
4024,ighv3-13*01,ighd3-9*01,ighj5*02
4025,ighv1-3*03,ighd6-19*01,ighj4*03
