sequence_number,V_allele,D_allele,J_allele
5808,ighv3-64*05,ighd2-21*01,ighj3*01
5809,ighv3-nl1*01,ighd3-16*02,ighj3*02
5810,ighv1-69d*01,ighd2-8*02,ighj4*03
5811,ighv3-72*01,ighd3-10*01,ighj5*02
5812,ighv3-64*03,ighd3-10*02,ighj4*03
5813,ighv2-70d*04,ighd6-6*01,ighj6*01
5814,ighv1-45*02,ighd1-7*01,ighj6*04
5815,ighv3-23*01,ighd6-19*01,ighj5*02
5816,ighv1-69d*01,ighd1-7*01,ighj4*02
5817,ighv4-39*01,ighd3-10*02,ighj4*03
5818,ighv4-34*10,ighd3-10*02,ighj4*03
5819,ighv1-69*14,ighd7-27*01,ighj2*01
5820,ighv3-66*03,ighd5-18*01,ighj4*02
5821,ighv1-18*03,ighd5-18*01,ighj6*04
5822,ighv3-72*01,ighd3-10*01,ighj3*01
5823,ighv3-30-3*02,ighd3-16*02,ighj6*01
5824,ighv3-30-5*02,ighd4-17*01,ighj4*03
5825,ighv4-39*06,ighd1-1*01,ighj5*02
5826,ighv1-8*01,ighd3-22*01,ighj3*01
5827,ighv2-70d*14,ighd3-10*01,ighj6*04
5828,ighv3-30*04,ighd1-7*01,ighj4*03
5829,ighv2-26*02,ighd5-5*01,ighj3*02
5830,ighv3-23*04,ighd6-25*01,ighj3*02
5831,ighv1-69-2*01,ighd5-12*01,ighj4*03
5832,ighv1-45*01,ighd3-9*01,ighj4*03
5833,ighv1-2*06,ighd3-16*01,ighj4*02
5834,ighv1-69*14,ighd5-18*01,ighj4*03
5835,ighv4-59*01,ighd3-3*01,ighj4*02
5836,ighv1-69*09,ighd5-5*01,ighj4*02
5837,ighv1-58*01,ighd5-18*01,ighj4*02
5838,ighv1-46*04,ighd3-9*01,ighj4*03
5839,ighv5-51*03,ighd1-26*01,ighj4*02
5840,ighv1-24*01,ighd2-2*01,ighj5*01
5841,ighv1-58*02,ighd1-7*01,ighj5*01
5842,ighv2-26*03,ighd3-10*01,ighj4*02
5843,ighv1-58*01,ighd6-6*01,ighj4*02
5844,ighv1-69d*01,ighd3-9*01,ighj4*03
5845,ighv3-7*03,ighd2-21*02,ighj6*01
5846,ighv1-45*01,ighd2-8*02,ighj3*02
5847,ighv1-69*09,ighd3-9*01,ighj4*02
5848,ighv1-69*14,ighd2-15*01,ighj5*01
5849,ighv4-30-4*02,ighd2-15*01,ighj4*03
5850,ighv1-24*01,ighd2-21*01,ighj4*02
5851,ighv1-24*01,ighd2-21*02,ighj5*01
5852,ighv1-69d*01,ighd1-20*01,ighj3*02
5853,ighv1-24*01,ighd4-17*01,ighj4*03
5854,ighv1-69d*01,ighd3-16*02,ighj4*03
5855,ighv1-69*14,ighd6-25*01,ighj5*01
5856,ighv1-24*01,ighd3-3*01,ighj3*01
5857,ighv3-53*02,ighd3-3*02,ighj6*01
5858,ighv1-18*03,ighd3-3*01,ighj5*02
5859,ighv1-58*02,ighd6-25*01,ighj4*03
5860,ighv3-62*04,ighd2-8*02,ighj4*03
5861,ighv1-69*14,ighd6-25*01,ighj4*03
5862,ighv3-23*01,ighd3-10*01,ighj2*01
5863,ighv1-24*01,ighd2-15*01,ighj4*02
5864,ighv1-3*02,ighd3-10*01,ighj4*02
5865,ighv1-46*03,ighd6-6*01,ighj4*02
5866,ighv3-30-3*03,ighd6-25*01,ighj4*02
5867,ighv1-45*01,ighd3-9*01,ighj6*01
5868,ighv2-5*01,ighd2-2*02,ighj4*02
5869,ighv3-23*01,ighd2-21*01,ighj4*02
5870,ighv3-64d*09,ighd2-2*02,ighj4*02
5871,ighv4-30-4*01,ighd5-5*01,ighj3*01
5872,ighv2-26*02,ighd6-6*01,ighj4*03
5873,ighv3-64d*09,ighd2-21*01,ighj4*02
5874,ighv3-9*01,ighd3-10*01,ighj4*02
5875,ighv1-24*01,ighd6-6*01,ighj4*03
5876,ighv1-46*03,ighd5-12*01,ighj4*02
5877,ighv1-2*07,ighd3-3*02,ighj3*02
5878,ighv1-69*09,ighd1-7*01,ighj4*02
5879,ighv1-24*01,ighd4-17*01,ighj5*02
5880,ighv1-24*01,ighd2-21*01,ighj5*02
5881,ighv3-23d*01,ighd6-25*01,ighj4*03
5882,ighv3-9*02,ighd1-26*01,ighj3*02
5883,ighv3-49*01,ighd3-3*01,ighj5*02
5884,ighv1-69*09,ighd2-8*01,ighj5*02
5885,ighv3-30*04,ighd6-25*01,ighj4*03
5886,ighv1-69d*01,ighd5-18*01,ighj5*01
5887,ighv1-46*03,ighd1-26*01,ighj6*04
5888,ighv1-69-2*01,ighd3-16*02,ighj4*03
5889,ighv2-5*01,ighd6-6*01,ighj3*01
5890,ighv1-18*04,ighd6-6*01,ighj6*01
5891,ighv2-26*02,ighd4-4*01,ighj6*01
5892,ighv1-18*04,ighd3-3*02,ighj6*01
5893,ighv1-18*04,ighd3-16*02,ighj4*03
5894,ighv2-26*03,ighd3-3*01,ighj4*02
5895,ighv4-30-2*03,ighd3-10*01,ighj4*02
5896,ighv3-7*03,ighd3-3*02,ighj5*01
5897,ighv3-23d*01,ighd3-3*02,ighj4*03
5898,ighv3-62*04,ighd1-1*01,ighj6*04
5899,ighv1-3*03,ighd6-6*01,ighj4*03
5900,ighv4-34*10,ighd3-16*02,ighj6*01
5901,ighv4-31*02,ighd2-8*02,ighj4*03
5902,ighv3-9*01,ighd3-16*01,ighj6*04
5903,ighv2-5*02,ighd1-1*01,ighj5*01
5904,ighv1-2*06,ighd3-3*01,ighj3*01
5905,ighv3-72*01,ighd2-21*02,ighj4*03
5906,ighv2-70*10,ighd1-7*01,ighj6*04
5907,ighv3-20*04,ighd6-19*01,ighj4*02
5908,ighv2-5*01,ighd2-15*01,ighj4*02
5909,ighv3-73*02,ighd6-25*01,ighj6*04
5910,ighv3-30*04,ighd3-10*02,ighj4*03
5911,ighv3-23*01,ighd2-2*02,ighj3*01
5912,ighv3-30*04,ighd2-21*02,ighj6*01
5913,ighv1-69d*01,ighd4-4*01,ighj3*02
5914,ighv3-74*03,ighd2-21*01,ighj5*02
5915,ighv1-58*01,ighd3-16*01,ighj2*01
5916,ighv3-62*04,ighd2-8*02,ighj4*03
5917,ighv1-69*14,ighd1-1*01,ighj6*01
5918,ighv1-58*01,ighd2-2*02,ighj3*01
5919,ighv1-69*14,ighd6-6*01,ighj5*01
5920,ighv2-70*20,ighd5-5*01,ighj3*02
5921,ighv2-5*01,ighd6-19*01,ighj6*04
5922,ighv1-46*04,ighd6-25*01,ighj6*01
5923,ighv2-70d*14,ighd3-22*01,ighj4*02
5924,ighv3-30-3*02,ighd1-7*01,ighj4*03
5925,ighv1-69*09,ighd6-13*01,ighj4*02
5926,ighv4-30-4*01,ighd2-21*01,ighj4*02
5927,ighv1-24*01,ighd3-3*02,ighj3*02
5928,ighv1-69d*01,ighd3-10*02,ighj5*01
5929,ighv1-58*01,ighd4-4*01,ighj5*02
5930,ighv2-70*10,ighd1-1*01,ighj4*02
5931,ighv3-74*03,ighd2-8*01,ighj6*04
5932,ighv1-8*02,ighd5-12*01,ighj5*01
5933,ighv1-69d*01,ighd4-4*01,ighj4*03
5934,ighv1-8*02,ighd3-16*02,ighj5*01
5935,ighv1-46*04,ighd6-25*01,ighj4*03
5936,ighv1-69-2*01,ighd3-9*01,ighj2*01
5937,ighv4-28*05,ighd2-21*01,ighj4*02
5938,ighv4-30-4*01,ighd3-16*01,ighj3*01
5939,ighv3-33*02,ighd3-10*02,ighj4*03
5940,ighv1-69d*01,ighd6-13*01,ighj6*04
5941,ighv1-2*06,ighd2-21*01,ighj5*02
5942,ighv7-4-1*02,ighd1-7*01,ighj4*02
5943,ighv2-5*02,ighd3-22*01,ighj4*03
5944,ighv1-2*06,ighd4-17*01,ighj2*01
5945,ighv1-69*09,ighd1-1*01,ighj4*02
5946,ighv3-30*04,ighd6-6*01,ighj4*03
5947,ighv2-70d*14,ighd3-10*01,ighj3*01
5948,ighv1-69-2*01,ighd3-22*01,ighj6*01
5949,ighv3-64*03,ighd3-22*01,ighj3*02
5950,ighv1-69*14,ighd5-18*01,ighj5*01
5951,ighv1-46*03,ighd3-9*01,ighj4*02
5952,ighv1-69d*01,ighd1-7*01,ighj6*04
5953,ighv3-35*02,ighd1-1*01,ighj3*01
5954,ighv3-15*06,ighd6-13*01,ighj4*03
5955,ighv5-51*03,ighd4-4*01,ighj6*04
5956,ighv5-51*07,ighd3-3*02,ighj5*01
5957,ighv3-43*01,ighd3-10*02,ighj4*03
5958,ighv3-30*04,ighd3-22*01,ighj4*03
5959,ighv3-64d*06,ighd5-18*01,ighj6*01
5960,ighv3-11*05,ighd4-17*01,ighj5*02
5961,ighv1-2*07,ighd3-10*02,ighj4*03
5962,ighv2-70d*14,ighd5-12*01,ighj4*02
5963,ighv3-35*02,ighd6-25*01,ighj4*03
5964,ighv3-43d*03,ighd3-10*02,ighj4*03
5965,ighv3-74*02,ighd4-17*01,ighj2*01
5966,ighv1-69*14,ighd6-13*01,ighj6*01
5967,ighv2-5*02,ighd6-13*01,ighj6*01
5968,ighv2-5*02,ighd3-9*01,ighj4*03
5969,ighv1-3*02,ighd6-25*01,ighj3*01
5970,ighv2-70*10,ighd1-20*01,ighj4*02
5971,ighv1-58*01,ighd3-10*01,ighj6*04
5972,ighv3-66*03,ighd3-3*01,ighj6*04
5973,ighv2-70*10,ighd2-21*01,ighj5*02
5974,ighv1-45*02,ighd4-17*01,ighj4*02
5975,ighv3-53*02,ighd1-20*01,ighj4*03
5976,ighv2-70*10,ighd3-10*01,ighj6*04
5977,ighv1-8*02,ighd6-6*01,ighj4*03
5978,ighv2-70d*04,ighd3-16*02,ighj5*01
5979,ighv3-20*01,ighd1-7*01,ighj4*03
5980,ighv2-26*02,ighd3-3*02,ighj4*03
5981,ighv1-8*01,ighd6-6*01,ighj4*02
5982,ighv3-64*05,ighd3-10*01,ighj5*02
5983,ighv1-8*01,ighd3-10*01,ighj6*04
5984,ighv1-18*03,ighd2-8*01,ighj4*02
5985,ighv3-nl1*01,ighd2-8*01,ighj4*02
5986,ighv2-5*02,ighd3-22*01,ighj2*01
5987,ighv3-72*01,ighd4-4*01,ighj4*02
5988,ighv2-70d*14,ighd1-1*01,ighj5*02
5989,ighv2-26*02,ighd3-10*02,ighj4*03
5990,ighv1-3*02,ighd3-22*01,ighj4*02
5991,ighv1-69-2*01,ighd6-13*01,ighj4*02
5992,ighv1-3*03,ighd2-2*01,ighj3*02
5993,ighv1-45*02,ighd2-2*02,ighj5*02
5994,ighv1-69d*01,ighd5-5*01,ighj1*01
5995,ighv1-58*02,ighd6-6*01,ighj2*01
5996,ighv3-11*06,ighd6-25*01,ighj6*01
5997,ighv5-10-1*03,ighd3-9*01,ighj4*02
5998,ighv1-3*03,ighd6-25*01,ighj4*03
5999,ighv1-58*01,ighd4-17*01,ighj4*02
6000,ighv4-4*08,ighd3-22*01,ighj4*03
6001,ighv2-5*01,ighd3-3*01,ighj4*02
6002,ighv3-33*02,ighd2-2*01,ighj6*01
6003,ighv1-3*03,ighd6-25*01,ighj4*03
6004,ighv2-26*02,ighd3-10*02,ighj3*02
6005,ighv1-69d*01,ighd2-8*02,ighj4*03
6006,ighv1-24*01,ighd4-4*01,ighj4*03
6007,ighv4-61*08,ighd2-21*02,ighj6*01
6008,ighv7-4-1*02,ighd3-10*01,ighj6*04
6009,ighv1-24*01,ighd3-22*01,ighj6*04
6010,ighv3-64d*09,ighd3-16*01,ighj3*01
6011,ighv1-2*06,ighd6-25*01,ighj4*02
6012,ighv2-26*03,ighd1-26*01,ighj5*02
6013,ighv1-3*02,ighd2-15*01,ighj3*01
6014,ighv1-24*01,ighd6-13*01,ighj4*02
6015,ighv3-23d*01,ighd2-8*01,ighj4*02
6016,ighv3-23*04,ighd3-3*02,ighj4*03
6017,ighv1-18*04,ighd5-18*01,ighj4*03
6018,ighv3-62*04,ighd1-20*01,ighj4*03
6019,ighv3-nl1*01,ighd6-6*01,ighj4*02
6020,ighv6-1*02,ighd4-17*01,ighj6*01
6021,ighv3-43*02,ighd3-10*01,ighj5*02
6022,ighv1-45*01,ighd4-4*01,ighj6*01
6023,ighv1-18*03,ighd3-10*01,ighj3*01
6024,ighv1-46*03,ighd3-3*01,ighj6*04
6025,ighv3-21*02,ighd2-8*01,ighj4*02
6026,ighv1-2*07,ighd1-7*01,ighj6*01
6027,ighv1-3*03,ighd3-9*01,ighj4*03
6028,ighv1-69-2*01,ighd6-13*01,ighj5*01
6029,ighv3-43d*03,ighd2-15*01,ighj4*03
6030,ighv1-8*02,ighd3-22*01,ighj6*01
6031,ighv3-23*04,ighd5-5*01,ighj4*03
6032,ighv1-8*01,ighd3-3*01,ighj4*02
6033,ighv1-24*01,ighd4-17*01,ighj4*03
6034,ighv2-70*10,ighd5-18*01,ighj4*02
6035,ighv1-46*04,ighd6-13*01,ighj3*02
6036,ighv3-23d*01,ighd1-7*01,ighj5*02
6037,ighv1-69-2*01,ighd1-1*01,ighj6*04
6038,ighv1-69d*01,ighd2-8*02,ighj4*03
6039,ighv5-51*03,ighd1-26*01,ighj6*04
6040,ighv2-70d*14,ighd3-16*01,ighj4*02
6041,ighv1-58*01,ighd2-2*02,ighj4*02
6042,ighv3-23*04,ighd2-2*01,ighj3*02
6043,ighv1-69*14,ighd3-3*02,ighj1*01
6044,ighv3-23*04,ighd6-19*01,ighj4*03
6045,ighv1-45*02,ighd3-22*01,ighj4*02
6046,ighv2-70d*04,ighd3-9*01,ighj4*03
6047,ighv6-1*02,ighd5-18*01,ighj4*03
6048,ighv1-69-2*01,ighd2-2*02,ighj4*02
6049,ighv1-45*01,ighd6-25*01,ighj4*03
6050,ighv1-46*04,ighd6-19*01,ighj3*02
6051,ighv2-70*20,ighd1-26*01,ighj6*01
6052,ighv1-46*04,ighd2-2*01,ighj4*03
6053,ighv1-8*02,ighd3-16*02,ighj5*01
6054,ighv1-45*02,ighd2-15*01,ighj4*02
6055,ighv1-69*09,ighd5-5*01,ighj6*04
6056,ighv6-1*02,ighd2-21*02,ighj3*02
6057,ighv1-69d*01,ighd1-20*01,ighj4*03
6058,ighv2-5*02,ighd1-26*01,ighj4*03
6059,ighv1-2*06,ighd2-2*02,ighj6*04
6060,ighv3-30*03,ighd2-21*01,ighj4*02
6061,ighv3-66*03,ighd2-8*01,ighj4*02
6062,ighv1-45*02,ighd6-19*01,ighj2*01
6063,ighv2-26*02,ighd1-1*01,ighj5*01
6064,ighv1-45*02,ighd6-13*01,ighj4*02
6065,ighv1-46*04,ighd1-7*01,ighj4*03
6066,ighv3-53*01,ighd3-22*01,ighj4*02
6067,ighv1-58*01,ighd6-19*01,ighj6*04
6068,ighv4-61*08,ighd6-6*01,ighj4*03
6069,ighv3-33*06,ighd3-10*01,ighj4*02
6070,ighv1-18*04,ighd3-3*02,ighj4*03
6071,ighv1-69-2*01,ighd3-16*02,ighj4*03
6072,ighv1-46*03,ighd1-20*01,ighj4*02
6073,ighv3-23d*01,ighd4-4*01,ighj5*01
6074,ighv1-18*03,ighd3-3*01,ighj4*02
6075,ighv1-46*04,ighd3-10*02,ighj4*03
6076,ighv1-8*01,ighd6-25*01,ighj4*02
6077,ighv1-58*02,ighd6-19*01,ighj4*03
6078,ighv3-33*06,ighd2-15*01,ighj4*02
6079,ighv3-64*03,ighd3-10*02,ighj5*01
6080,ighv1-58*01,ighd6-25*01,ighj5*02
6081,ighv1-58*01,ighd4-4*01,ighj6*04
6082,ighv3-11*06,ighd5-5*01,ighj6*01
6083,ighv2-5*01,ighd5-12*01,ighj4*02
6084,ighv3-20*01,ighd6-6*01,ighj6*01
6085,ighv3-nl1*01,ighd5-18*01,ighj2*01
6086,ighv3-30-3*02,ighd3-22*01,ighj5*01
6087,ighv1-58*02,ighd1-1*01,ighj4*03
6088,ighv3-30*03,ighd3-22*01,ighj4*02
6089,ighv1-46*03,ighd4-17*01,ighj4*02
6090,ighv2-26*02,ighd1-26*01,ighj3*02
6091,ighv3-33*06,ighd2-2*02,ighj4*02
6092,ighv2-70d*14,ighd2-21*01,ighj4*02
6093,ighv6-1*02,ighd3-22*01,ighj4*03
6094,ighv2-70d*04,ighd2-8*02,ighj5*01
6095,ighv3-30-3*03,ighd6-13*01,ighj4*02
6096,ighv2-70d*04,ighd2-8*02,ighj5*01
6097,ighv3-64*05,ighd3-10*01,ighj5*02
6098,ighv5-10-1*03,ighd3-3*01,ighj4*02
6099,ighv3-23d*01,ighd4-4*01,ighj3*01
6100,ighv5-51*03,ighd5-5*01,ighj6*04
6101,ighv2-70*10,ighd6-25*01,ighj4*02
6102,ighv3-43*01,ighd3-10*02,ighj3*02
6103,ighv3-23*04,ighd2-21*02,ighj5*01
6104,ighv2-26*03,ighd1-1*01,ighj4*02
6105,ighv2-70*20,ighd3-16*02,ighj4*03
6106,ighv1-69-2*01,ighd3-10*02,ighj4*03
6107,ighv1-69-2*01,ighd4-4*01,ighj6*01
6108,ighv1-24*01,ighd2-8*01,ighj6*04
6109,ighv3-64d*09,ighd2-21*01,ighj4*02
6110,ighv1-69d*01,ighd3-16*02,ighj4*03
6111,ighv2-26*02,ighd6-19*01,ighj3*02
6112,ighv3-33*06,ighd1-1*01,ighj4*02
6113,ighv3-53*02,ighd3-9*01,ighj6*01
6114,ighv2-26*03,ighd1-26*01,ighj4*02
6115,ighv3-15*05,ighd6-13*01,ighj4*02
6116,ighv4-38-2*02,ighd2-15*01,ighj4*03
6117,ighv3-35*02,ighd5-18*01,ighj2*01
6118,ighv1-2*07,ighd2-8*02,ighj4*03
6119,ighv1-69-2*01,ighd1-26*01,ighj4*03
6120,ighv1-46*04,ighd6-13*01,ighj6*01
6121,ighv4-30-4*01,ighd1-1*01,ighj4*02
6122,ighv1-69-2*01,ighd3-10*01,ighj6*04
6123,ighv4-34*09,ighd1-20*01,ighj4*02
6124,ighv3-66*03,ighd3-10*01,ighj4*02
6125,ighv1-45*01,ighd7-27*01,ighj4*03
6126,ighv7-4-1*01,ighd6-6*01,ighj4*03
6127,ighv4-59*11,ighd1-26*01,ighj4*03
6128,ighv2-70d*04,ighd2-2*01,ighj6*01
6129,ighv1-24*01,ighd3-3*02,ighj6*01
6130,ighv3-64d*09,ighd6-19*01,ighj4*02
6131,ighv3-20*04,ighd3-3*01,ighj4*02
6132,ighv7-4-1*01,ighd4-4*01,ighj4*03
6133,ighv2-5*01,ighd2-8*01,ighj5*02
6134,ighv6-1*02,ighd5-5*01,ighj4*03
6135,ighv1-18*03,ighd6-25*01,ighj4*02
6136,ighv3-9*01,ighd5-5*01,ighj2*01
6137,ighv2-70*20,ighd2-15*01,ighj4*03
6138,ighv6-1*01,ighd3-3*01,ighj4*02
6139,ighv3-33*06,ighd1-1*01,ighj3*01
6140,ighv3-11*05,ighd2-2*02,ighj4*02
6141,ighv1-46*03,ighd5-5*01,ighj6*04
6142,ighv3-53*01,ighd1-20*01,ighj6*04
6143,ighv3-23d*01,ighd2-2*02,ighj4*02
6144,ighv1-24*01,ighd6-13*01,ighj5*02
6145,ighv3-nl1*01,ighd3-9*01,ighj4*03
6146,ighv3-23d*01,ighd6-25*01,ighj5*02
6147,ighv1-58*01,ighd3-16*01,ighj6*04
6148,ighv1-58*02,ighd6-13*01,ighj4*03
6149,ighv1-2*07,ighd3-16*02,ighj3*02
6150,ighv2-70*10,ighd2-2*02,ighj6*04
6151,ighv4-34*09,ighd3-16*01,ighj4*02
6152,ighv1-8*02,ighd3-16*02,ighj4*03
6153,ighv3-62*04,ighd5-12*01,ighj3*02
6154,ighv2-70*10,ighd4-17*01,ighj4*02
6155,ighv3-49*01,ighd6-13*01,ighj3*01
6156,ighv4-28*05,ighd3-16*01,ighj4*02
6157,ighv1-46*04,ighd2-21*02,ighj4*03
6158,ighv1-45*01,ighd3-9*01,ighj2*01
6159,ighv1-69d*01,ighd2-8*02,ighj4*03
6160,ighv2-70*20,ighd3-22*01,ighj6*01
6161,ighv3-64*05,ighd4-17*01,ighj5*02
6162,ighv2-70d*04,ighd3-16*02,ighj6*01
6163,ighv1-18*04,ighd4-17*01,ighj4*03
6164,ighv2-70d*14,ighd5-12*01,ighj4*02
6165,ighv5-10-1*04,ighd3-22*01,ighj5*01
6166,ighv6-1*02,ighd3-22*01,ighj6*01
6167,ighv1-69*14,ighd1-26*01,ighj4*03
6168,ighv3-30-5*02,ighd5-18*01,ighj4*03
6169,ighv1-45*01,ighd3-10*02,ighj3*02
6170,ighv1-8*02,ighd1-1*01,ighj3*02
6171,ighv3-43*02,ighd2-8*01,ighj4*02
6172,ighv3-23d*01,ighd3-3*01,ighj1*01
6173,ighv1-2*07,ighd3-22*01,ighj3*02
6174,ighv1-45*01,ighd2-15*01,ighj6*01
6175,ighv1-8*02,ighd1-7*01,ighj1*01
6176,ighv2-5*02,ighd1-1*01,ighj4*03
6177,ighv2-70d*04,ighd6-19*01,ighj6*01
6178,ighv3-74*03,ighd6-13*01,ighj6*04
6179,ighv3-73*02,ighd3-16*01,ighj6*04
6180,ighv2-26*03,ighd6-25*01,ighj4*02
6181,ighv7-4-1*02,ighd1-1*01,ighj4*02
6182,ighv1-46*03,ighd5-12*01,ighj6*04
6183,ighv1-46*04,ighd2-21*02,ighj6*01
6184,ighv2-70*10,ighd4-4*01,ighj4*02
6185,ighv1-46*04,ighd1-7*01,ighj4*03
6186,ighv5-51*07,ighd4-17*01,ighj3*02
6187,ighv1-8*01,ighd3-3*01,ighj5*02
6188,ighv4-34*09,ighd1-7*01,ighj3*01
6189,ighv1-24*01,ighd3-22*01,ighj4*02
6190,ighv3-15*06,ighd3-22*01,ighj4*03
6191,ighv3-9*01,ighd6-19*01,ighj2*01
6192,ighv3-73*01,ighd3-10*02,ighj6*01
6193,ighv1-69d*01,ighd1-26*01,ighj5*01
6194,ighv1-18*04,ighd4-4*01,ighj4*03
6195,ighv2-70*20,ighd3-10*02,ighj4*03
6196,ighv5-51*07,ighd3-10*02,ighj4*03
6197,ighv2-70*10,ighd1-1*01,ighj4*02
6198,ighv1-69-2*01,ighd3-16*02,ighj4*03
6199,ighv2-70*10,ighd3-10*01,ighj4*02
6200,ighv2-70d*04,ighd2-21*02,ighj6*01
6201,ighv7-4-1*01,ighd6-13*01,ighj5*01
6202,ighv2-70d*14,ighd2-21*01,ighj3*01
6203,ighv3-74*02,ighd3-3*02,ighj4*03
6204,ighv1-2*06,ighd2-21*01,ighj4*02
6205,ighv3-72*01,ighd4-4*01,ighj4*03
6206,ighv2-26*02,ighd4-17*01,ighj6*01
6207,ighv2-70d*14,ighd1-26*01,ighj4*02
6208,ighv3-20*01,ighd6-19*01,ighj4*03
6209,ighv1-46*04,ighd4-4*01,ighj4*03
6210,ighv4-28*06,ighd3-9*01,ighj2*01
6211,ighv1-8*02,ighd6-25*01,ighj5*01
6212,ighv3-64d*09,ighd3-3*01,ighj4*02
6213,ighv1-69d*01,ighd6-13*01,ighj6*01
6214,ighv3-62*04,ighd2-15*01,ighj6*01
6215,ighv1-3*03,ighd3-3*02,ighj5*01
6216,ighv1-18*03,ighd5-5*01,ighj5*02
6217,ighv1-69-2*01,ighd1-7*01,ighj6*01
6218,ighv1-58*02,ighd3-3*02,ighj4*03
6219,ighv4-31*10,ighd3-3*01,ighj5*02
6220,ighv3-7*03,ighd5-18*01,ighj4*03
6221,ighv1-18*03,ighd5-18*01,ighj4*02
6222,ighv1-58*01,ighd3-3*01,ighj5*02
6223,ighv1-18*04,ighd1-1*01,ighj4*03
6224,ighv1-58*02,ighd3-3*02,ighj6*01
6225,ighv1-69-2*01,ighd3-3*01,ighj4*02
6226,ighv2-70d*14,ighd2-15*01,ighj6*04
6227,ighv2-5*01,ighd1-20*01,ighj5*02
6228,ighv3-48*03,ighd2-2*02,ighj6*04
6229,ighv3-62*04,ighd2-8*02,ighj4*03
6230,ighv2-70*20,ighd5-18*01,ighj4*03
6231,ighv3-64*03,ighd6-25*01,ighj4*03
6232,ighv2-70*10,ighd2-15*01,ighj6*04
6233,ighv3-21*02,ighd3-22*01,ighj4*02
6234,ighv1-2*06,ighd6-6*01,ighj4*02
6235,ighv4-4*08,ighd5-18*01,ighj5*01
6236,ighv3-nl1*01,ighd3-3*02,ighj4*03
6237,ighv1-18*04,ighd1-1*01,ighj4*03
6238,ighv1-2*07,ighd3-3*02,ighj3*02
6239,ighv1-18*03,ighd6-25*01,ighj3*01
6240,ighv3-15*06,ighd6-19*01,ighj4*03
6241,ighv3-21*02,ighd3-3*01,ighj4*02
6242,ighv1-69-2*01,ighd3-9*01,ighj4*02
6243,ighv2-5*01,ighd1-1*01,ighj3*01
6244,ighv1-69-2*01,ighd1-26*01,ighj6*04
6245,ighv1-69*09,ighd4-4*01,ighj4*02
6246,ighv7-4-1*02,ighd1-26*01,ighj6*04
6247,ighv4-59*01,ighd3-16*01,ighj2*01
6248,ighv1-46*04,ighd6-6*01,ighj6*01
6249,ighv3-30-3*03,ighd3-3*01,ighj3*01
6250,ighv3-43*01,ighd3-3*02,ighj6*01
6251,ighv2-5*01,ighd5-18*01,ighj4*02
6252,ighv1-69-2*01,ighd3-22*01,ighj4*03
6253,ighv3-43d*04,ighd6-13*01,ighj5*02
6254,ighv3-33*06,ighd5-18*01,ighj3*01
6255,ighv2-70d*04,ighd2-21*02,ighj4*03
6256,ighv3-43d*03,ighd3-3*02,ighj5*01
6257,ighv1-69*09,ighd2-15*01,ighj6*04
6258,ighv1-18*04,ighd6-6*01,ighj3*02
6259,ighv3-11*05,ighd1-1*01,ighj6*04
6260,ighv3-nl1*01,ighd5-5*01,ighj4*03
6261,ighv3-74*02,ighd3-16*02,ighj6*01
6262,ighv3-nl1*01,ighd3-16*01,ighj5*02
6263,ighv3-49*01,ighd3-16*01,ighj4*02
6264,ighv1-46*03,ighd1-20*01,ighj6*04
6265,ighv1-69-2*01,ighd1-26*01,ighj3*01
6266,ighv3-23*04,ighd3-3*02,ighj4*03
6267,ighv2-70*20,ighd3-16*02,ighj4*03
6268,ighv1-69*14,ighd2-2*01,ighj3*02
6269,ighv3-30-5*01,ighd5-5*01,ighj4*02
6270,ighv3-53*01,ighd6-19*01,ighj6*04
6271,ighv1-18*03,ighd1-26*01,ighj4*02
6272,ighv3-21*06,ighd3-22*01,ighj3*02
6273,ighv1-58*02,ighd3-10*02,ighj4*03
6274,ighv4-34*10,ighd3-22*01,ighj6*01
6275,ighv3-48*04,ighd6-13*01,ighj4*03
6276,ighv1-46*03,ighd6-13*01,ighj6*04
6277,ighv3-20*04,ighd1-1*01,ighj4*02
6278,ighv1-46*04,ighd2-21*02,ighj4*03
6279,ighv7-4-1*01,ighd4-4*01,ighj4*03
6280,ighv3-48*03,ighd5-18*01,ighj4*02
6281,ighv1-69*14,ighd3-22*01,ighj6*01
6282,ighv1-18*04,ighd7-27*01,ighj4*03
6283,ighv1-2*06,ighd6-6*01,ighj4*02
6284,ighv2-26*02,ighd4-17*01,ighj4*03
6285,ighv7-4-1*01,ighd5-18*01,ighj5*01
6286,ighv2-70*10,ighd3-10*01,ighj6*04
6287,ighv3-64d*09,ighd6-19*01,ighj5*02
6288,ighv2-70*10,ighd1-1*01,ighj4*02
6289,ighv3-64*03,ighd6-6*01,ighj3*02
6290,ighv1-58*02,ighd4-17*01,ighj4*03
6291,ighv3-33*02,ighd6-6*01,ighj5*01
6292,ighv1-46*04,ighd3-22*01,ighj4*03
6293,ighv3-33*02,ighd4-4*01,ighj4*03
6294,ighv1-18*03,ighd2-8*01,ighj4*02
6295,ighv1-3*03,ighd1-1*01,ighj6*01
6296,ighv1-46*03,ighd3-16*01,ighj4*02
6297,ighv3-33*02,ighd3-9*01,ighj3*02
6298,ighv3-9*01,ighd2-21*01,ighj4*02
6299,ighv3-9*01,ighd2-15*01,ighj5*02
6300,ighv3-33*02,ighd4-17*01,ighj6*01
